frequency,darm
27.9,1.49e-19
28.0,1.45e-19
28.1,2.0300000000000002e-19
28.2,2.9100000000000003e-19
28.3,2.63e-19
28.4,1.9e-19
28.5,1.58e-19
28.6,1.4199999999999997e-19
28.7,1.48e-19
28.8,1.49e-19
28.9,1.4599999999999998e-19
29.0,1.4199999999999997e-19
29.1,1.2900000000000002e-19
29.2,1.31e-19
29.3,1.59e-19
29.4,1.5e-19
29.5,1.6899999999999998e-19
29.6,1.6000000000000002e-19
29.7,1.6000000000000002e-19
29.8,1.59e-19
29.9,1.2699999999999998e-19
30.0,1.1999999999999999e-19
30.1,1.2800000000000001e-19
30.2,1.23e-19
30.3,1.1800000000000002e-19
30.4,1.09e-19
30.5,1.14e-19
30.6,1.1300000000000002e-19
30.7,1.15e-19
30.8,9.7e-20
30.9,9.77e-20
31.0,1.14e-19
31.1,1.1099999999999998e-19
31.2,1.05e-19
31.3,1.08e-19
31.4,1.15e-19
31.5,9.58e-20
31.6,1.0400000000000001e-19
31.7,9.68e-20
31.8,1.15e-19
31.9,1.65e-19
32.0,1.75e-19
32.1,1.6899999999999998e-19
32.2,2.2300000000000004e-19
32.3,2.41e-19
32.4,1.75e-19
32.5,1.15e-19
32.6,1e-19
32.7,1.0199999999999998e-19
32.8,1.0400000000000001e-19
32.9,9.77e-20
33.0,1.0100000000000001e-19
33.1,9.890000000000001e-20
33.2,9.15e-20
33.3,9e-20
33.4,1e-19
33.5,1.0300000000000001e-19
33.6,9.33e-20
33.7,8.77e-20
33.8,8.49e-20
33.9,8.76e-20
34.0,9.09e-20
34.1,9.539999999999999e-20
34.2,9.609999999999999e-20
34.3,8.33e-20
34.4,8.410000000000001e-20
34.5,8.48e-20
34.6,8.279999999999999e-20
34.7,8.84e-20
34.8,8.74e-20
34.9,8.499999999999999e-20
35.0,8.37e-20
35.1,8.14e-20
35.2,8.81e-20
35.3,9.140000000000001e-20
35.4,8.859999999999999e-20
35.5,9.49e-20
35.6,1.0100000000000001e-19
35.7,1.0599999999999999e-19
35.8,9.2e-20
35.9,7.55e-20
36.0,7.570000000000001e-20
36.1,7.960000000000001e-20
36.2,7.879999999999999e-20
36.3,7.84e-20
36.4,8.679999999999999e-20
36.5,8.72e-20
36.6,8.97e-20
36.7,7.9e-20
36.8,6.71e-20
36.9,6.59e-20
37.0,6.9e-20
37.1,7.099999999999999e-20
37.2,7.56e-20
37.3,8.05e-20
37.4,8.210000000000002e-20
37.5,7.73e-20
37.6,7.48e-20
37.7,7.56e-20
37.8,7.95e-20
37.9,8.220000000000001e-20
38.0,7.339999999999999e-20
38.1,6.8e-20
38.2,7.07e-20
38.3,7.47e-20
38.4,7.28e-20
38.5,7.05e-20
38.6,6.68e-20
38.7,6.85e-20
38.8,6.539999999999999e-20
38.9,6.11e-20
39.0,5.72e-20
39.1,5.97e-20
39.2,6.78e-20
