frequency,amb,flag,channel
27.0,2.37e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.1,2.4e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.2,2.45e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.3,2.4e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.4,2.21e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.5,2.39e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.6,2.46e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.7,3.52e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.8,6.06e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
27.9,5.87e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.0,2.69e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.1,1.72e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.2,1.9e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.3,2.27e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.4,2.51e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.5,2.33e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.6,2.4e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.7,2.51e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.8,2.66e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
28.9,1.92e-20,Upper Limit,L1:PEM-CS_ACC_PSL_PERISCOPE_Y
29.0,1.91e-20,Upper Limit,L1:PEM-CS_ACC_PSL_PERISCOPE_Y
29.1,2.93e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
29.2,1.73e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
29.3,1.49e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_X
29.4,2.4e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
29.5,2.45e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
29.6,2.4e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
29.7,2.75e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
29.8,2.98e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
29.9,2.75e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
30.0,2.83e-21,Upper Limit,L1:PEM-CS_MIC_PSL_CENTER
30.1,1.52e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
30.2,1.9e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
30.3,1.16e-20,Upper Limit,L1:PEM-CS_ACC_BSC3_ITMX_X
30.4,1.48e-20,Upper Limit,L1:PEM-CS_ACC_HAM3_PR2_Y
30.5,1.59e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
30.6,1.4e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
30.7,1.38e-20,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_Y
30.8,1.44e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
30.9,1.75e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
31.0,1.48e-20,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_X
31.1,1.52e-20,Upper Limit,L1:PEM-CS_ACC_HAM4_SR2_X
31.2,1.66e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
31.3,1.29e-20,Upper Limit,L1:PEM-CS_ACC_HAM4_SR2_X
31.4,1.2e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
31.5,1.27e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
31.6,1.12e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
31.7,1.47e-20,Upper Limit,L1:PEM-CS_ACC_HAM2_PRM_Z
31.8,1.36e-20,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_Y
31.9,1.41e-20,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_Y
32.0,1.47e-20,Upper Limit,L1:PEM-CS_ACC_HAM2_PRM_Z
32.1,1.25e-20,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_Y
32.2,1.11e-20,Upper Limit,L1:PEM-CS_ACC_PSL_TABLE1_X
32.3,1.28e-20,Upper Limit,L1:PEM-CS_ACC_PSL_TABLE1_X
32.4,1.31e-20,Upper Limit,L1:PEM-CS_ACC_PSL_PERISCOPE_Y
32.5,1.03e-20,Upper Limit,L1:PEM-CS_ACC_HAM2_PRM_Z
32.6,1.1e-20,Upper Limit,L1:PEM-CS_ACC_HAM4_SR2_X
32.7,1.02e-20,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_X
32.8,8.48e-21,Upper Limit,L1:PEM-CS_ACC_BSC1_ITMY_X
