frequency,amb,flag,darm
11.33,0.0,0,2.15e-17
11.375,0.0,0,2.13e-17
11.42,0.0,0,1.85e-17
11.45,0.0,0,1.77e-17
11.5,0.0,0,1.3550000000000001e-17
11.55,0.0,0,1.4300000000000002e-17
11.594999999999999,0.0,0,1.4e-17
11.64,0.0,0,1.74e-17
11.684999999999999,0.0,0,2.3400000000000002e-17
11.73,0.0,0,2.1100000000000003e-17
11.774999999999999,0.0,0,1.535e-17
11.82,0.0,0,1.3600000000000002e-17
11.85,0.0,0,1.18e-17
11.895,0.0,0,1.28e-17
11.94,0.0,0,1.38e-17
11.985,0.0,0,1.5e-17
12.03,0.0,0,1.1199999999999999e-17
12.075,0.0,0,8.81e-18
12.12,0.0,0,8.03e-18
12.165,0.0,0,1.21e-17
12.21,0.0,0,1.1e-17
12.254999999999999,0.0,0,8.835e-18
12.3,0.0,0,8.63e-18
12.344999999999999,0.0,0,8.215e-18
12.39,0.0,0,7.41e-18
12.434999999999999,0.0,0,7.075e-18
12.48,0.0,0,7.32e-18
12.535,0.0,0,6.585e-18
12.58,0.0,0,6.7599999999999995e-18
12.625,0.0,0,6.025e-18
12.67,0.0,0,6.01e-18
12.715,0.0,0,5.105e-18
12.76,0.0,0,5.16e-18
12.805,0.0,0,5.135e-18
12.85,0.0,0,6.1699999999999995e-18
12.895,0.0,0,4.97e-18
12.94,0.0,0,4.42e-18
12.985,0.0,0,4.625e-18
13.03,0.0,0,5.54e-18
13.075,0.0,0,5.03e-18
13.12,0.0,0,4.1000000000000005e-18
13.165,0.0,0,4.175e-18
13.21,0.0,0,3.95e-18
13.254999999999999,0.0,0,3.85e-18
13.315000000000001,0.0,0,3.855e-18
13.36,0.0,0,4e-18
13.405000000000001,0.0,0,3.15e-18
13.45,0.0,0,3.3500000000000003e-18
13.5,0.0,0,4.555e-18
13.55,0.0,0,5.2e-18
13.594999999999999,0.0,0,6.185e-18
13.64,0.0,0,1.0599999999999999e-17
13.684999999999999,0.0,0,1.64e-17
13.745000000000001,0.0,0,1.825e-17
13.79,0.0,0,1.15e-17
13.835,0.0,0,6.29e-18
13.88,0.0,0,6.86e-18
13.925,0.0,0,9.46e-18
13.985,0.0,0,5.765e-18
14.03,0.0,0,3.88e-18
14.075,0.0,0,3.135e-18
14.12,0.0,0,2.7199999999999998e-18
14.165,0.0,0,2.14e-18
14.225000000000001,0.0,0,2.225e-18
14.27,0.0,0,2.5e-18
