frequency,amb,flag,channel
11.9,1.08e-18,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.0,7.820000000000001e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.1,6.06e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.2,5.49e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.3,4.7e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.4,3.12e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.5,2.66e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.6,2.7100000000000004e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.7,2.5800000000000004e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.8,2e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
12.9,1.43e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
13.0,1.2800000000000001e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
13.1,1.83e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
13.2,2.75e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
13.3,3.2600000000000004e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
13.4,3.11e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
13.5,2.72e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
14.1,1.19e-18,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
14.2,1.0200000000000002e-18,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
14.3,1.68e-18,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
14.7,4.73e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
14.8,3.5299999999999997e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
14.9,2.9e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
