frequency,amb,flag,channel
426.27,3.12e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
433.06,1.8499999999999997e-21,Upper Limit,H1:PEM-EY_MAG_EBAY_SEIRACK_XYZ
433.58,3.1999999999999998e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
439.94,3.3299999999999997e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
446.82,3.3200000000000002e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
447.33,1.17e-21,Upper Limit,H1:PEM-EX_MAG_VEA_FLOOR_XYZ
454.52,2.84e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
461.7,2.71e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
468.73,3.27e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
475.36,4.8100000000000005e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
482.94,3.97e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
489.48,4.0600000000000004e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
518.27,2.0699999999999997e-21,Upper Limit,H1:PEM-EX_MAG_VEA_FLOOR_XYZ
525.48,4.13e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
532.18,3.96e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
532.97,2.6e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
546.67,2.49e-21,Upper Limit,H1:PEM-EY_MAG_EBAY_SEIRACK_XYZ
553.76,2.54e-21,Upper Limit,H1:PEM-EX_MAG_VEA_FLOOR_XYZ
560.88,2.4400000000000002e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
568.0,1.1400000000000001e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
582.15,1.92e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
589.33,1.2e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
596.36,1.86e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
603.45,1.6600000000000001e-21,Upper Limit,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
610.58,2.0999999999999997e-21,Upper Limit,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
617.67,2.57e-21,Upper Limit,H1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
624.76,1.27e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
625.27,3.59e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
631.94,1.4599999999999999e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
638.97,2.3100000000000003e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
646.09,2.2500000000000002e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
653.15,1.6100000000000001e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
667.36,2.2800000000000002e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
667.88,4.41e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
674.55,2.1299999999999998e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
681.58,1.77e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
688.73,2.0699999999999997e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
695.76,2.9100000000000002e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
702.88,1.8e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
710.03,1.98e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
717.12,2.8899999999999997e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
724.15,2.8899999999999997e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
731.33,2.0999999999999997e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
738.36,2.8800000000000002e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
738.88,6.02e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
745.88,6.229999999999999e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
752.58,2.52e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
759.7,2.49e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
766.76,2.4e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
