frequency,amb,flag,darm
19.8,4.4299999999999996e-20,1,1.56e-18
19.9,6.05e-19,0,2.17e-18
20.05,1.3999999999999999e-18,0,5.6350000000000004e-18
20.2,0.0,0,3.4000000000000004e-18
20.3,0.0,0,1.45e-18
20.45,0.0,0,1.235e-18
20.6,0.0,0,2.0899999999999997e-18
20.7,0.0,0,3.62e-18
20.85,0.0,0,2.39e-18
21.0,0.0,0,9.07e-19
21.1,0.0,0,6.370000000000001e-19
21.25,0.0,0,5.519999999999999e-19
21.4,0.0,0,6.329999999999999e-19
21.5,0.0,0,5.370000000000001e-19
21.65,0.0,0,1.4825e-18
21.8,0.0,0,6.1899999999999994e-18
21.9,0.0,0,6.13e-18
22.05,0.0,0,4.220000000000001e-18
22.2,0.0,0,2.42e-18
22.3,0.0,0,7.240000000000001e-19
22.45,1.39e-19,0,4.455e-19
22.6,9.84e-20,0,3.59e-19
22.7,1.14e-19,0,3.39e-19
22.85,8.915e-20,0,3.4999999999999997e-19
23.0,1.05e-19,0,3.3999999999999997e-19
23.1,1.33e-19,0,3.59e-19
23.25,1.335e-19,0,3.3399999999999997e-19
23.4,1.36e-19,0,3.0100000000000003e-19
23.5,1.38e-19,0,3.21e-19
23.65,1.355e-19,0,3.515e-19
23.8,1.58e-19,0,3.27e-19
23.95,1.4250000000000001e-19,0,3.3750000000000003e-19
24.1,6.26e-20,1,2.76e-19
24.2,4.9600000000000004e-20,1,2.5e-19
24.35,4.025e-20,1,2.565e-19
24.5,4.6299999999999996e-20,1,2.62e-19
24.65,7.270000000000001e-20,1,2.5299999999999997e-19
24.8,6.68e-20,1,2.38e-19
24.9,7.099999999999999e-20,1,2.27e-19
25.05,6.105e-20,1,2.405e-19
25.2,5.0299999999999997e-20,1,2.0800000000000002e-19
25.35,4.27e-20,1,2.35e-19
25.5,4.07e-20,1,2.28e-19
25.6,2.94e-20,1,2.0699999999999999e-19
25.75,2.2750000000000003e-20,1,1.9050000000000002e-19
25.9,1.17e-20,1,1.82e-19
26.05,1.775e-20,1,1.9350000000000002e-19
26.2,2.7500000000000004e-20,1,2.1100000000000002e-19
26.3,2.3e-20,1,1.7699999999999998e-19
26.45,1.8599999999999998e-20,1,1.465e-19
26.6,2.31e-20,1,1.7699999999999998e-19
26.75,1.645e-20,1,1.63e-19
26.9,2.2599999999999998e-20,1,1.7399999999999997e-19
27.05,4.34e-20,1,1.69e-19
27.2,2.19e-20,1,1.6899999999999998e-19
27.35,4.82e-20,1,2.1550000000000003e-19
27.5,0.0,0,2.33e-19
27.6,0.0,0,2.18e-19
27.75,0.0,0,1.9e-19
27.9,0.0,0,1.49e-19
28.05,5.99e-21,1,1.74e-19
28.2,5.08e-20,1,2.9100000000000003e-19
28.35,9.84e-21,1,2.265e-19
28.5,1.1599999999999998e-20,1,1.58e-19
28.65,9.089999999999999e-21,1,1.45e-19
28.8,8.909999999999998e-21,1,1.49e-19
28.95,6.715e-21,1,1.4399999999999997e-19
29.1,6.7000000000000005e-21,1,1.2900000000000002e-19
29.25,1.0215e-20,1,1.45e-19
29.4,7.8e-21,1,1.5e-19
29.55,1.3200000000000002e-20,1,1.645e-19
29.7,1.59e-20,1,1.6000000000000002e-19
29.85,8.54e-20,1,1.4299999999999998e-19
30.0,2.0299999999999997e-20,1,1.1999999999999999e-19
30.15,5.64e-21,1,1.255e-19
30.3,9.04e-21,1,1.1800000000000002e-19
30.45,7.995e-21,1,1.115e-19
30.6,5.28e-21,1,1.1300000000000002e-19
30.75,2.3100000000000003e-20,1,1.0599999999999999e-19
30.9,1.7100000000000002e-20,1,9.77e-20
31.05,2.105e-20,1,1.1249999999999998e-19
31.2,1.56e-20,1,1.05e-19
31.35,1.285e-20,1,1.115e-19
31.5,1.01e-20,1,9.58e-20
31.65,8.89e-21,1,1.0040000000000001e-19
31.8,3.3300000000000004e-20,0,1.15e-19
31.95,4.6e-20,0,1.7e-19
32.1,4.03e-20,0,1.6899999999999998e-19
32.25,5.554999999999999e-20,1,2.32e-19
32.45,3.1449999999999997e-20,0,1.45e-19
32.6,2.11e-20,0,1e-19
32.75,2.1300000000000003e-20,0,1.03e-19
32.9,4.18e-21,1,9.77e-20
33.05,7.74e-21,1,9.995000000000001e-20
33.2,1.02e-20,1,9.15e-20
33.349999999999994,8.07e-21,1,9.5e-20
33.5,1.1599999999999998e-20,1,1.0300000000000001e-19
33.650000000000006,1.1574999999999999e-20,1,9.05e-20
33.849999999999994,6.925000000000001e-21,1,8.625e-20
34.0,9.55e-21,1,9.09e-20
34.150000000000006,7.030000000000001e-21,1,9.574999999999999e-20
34.3,3.6700000000000006e-21,1,8.33e-20
34.45,8.605e-21,1,8.445000000000001e-20
34.650000000000006,2.175e-20,0,8.56e-20
34.8,2.1400000000000003e-20,0,8.74e-20
34.95,1.435e-20,1,8.435e-20
35.1,1.3700000000000003e-20,1,8.14e-20
35.25,1.2450000000000001e-20,1,8.975000000000001e-20
35.45,2.3050000000000004e-20,0,9.174999999999999e-20
35.6,0.0,0,1.0100000000000001e-19
35.75,0.0,0,9.899999999999999e-20
35.9,0.0,0,7.55e-20
36.05,0.0,0,7.765e-20
36.25,0.0,0,7.86e-20
36.4,0.0,0,8.679999999999999e-20
36.55,0.0,0,8.845e-20
36.75,0.0,0,7.304999999999999e-20
36.9,0.0,0,6.59e-20
37.05,0.0,0,6.999999999999999e-20
37.2,0.0,0,7.56e-20
37.349999999999994,0.0,0,8.13e-20
37.55,2.22e-20,0,7.605e-20
37.7,8.3e-21,1,7.56e-20
37.849999999999994,2.725e-20,0,8.085000000000001e-20
38.05,4.345e-21,1,7.069999999999999e-20
38.2,9.83e-21,1,7.07e-20
38.349999999999994,1.3199999999999997e-20,1,7.374999999999999e-20
38.55,1.3199999999999999e-20,1,6.865e-20
38.7,1.38e-20,1,6.85e-20
38.849999999999994,1.52e-20,1,6.324999999999999e-20
39.05,2.18e-20,1,5.844999999999999e-20
39.2,2.54e-20,1,6.78e-20
39.349999999999994,2.4200000000000003e-20,1,7.229999999999999e-20
39.55,1.86e-20,1,6.83e-20
39.75,1.042e-20,1,6.214999999999999e-20
39.9,2.11e-20,0,6.6e-20
40.05,1.5500000000000003e-20,0,6.89e-20
40.25,9.070000000000001e-21,1,7.335e-20
40.4,5.18e-21,1,9.42e-20
40.55,6.0999999999999994e-21,1,8.3e-20
40.75,2.34e-20,1,6.534999999999999e-20
40.9,2.34e-20,1,7.15e-20
41.05,1.9650000000000002e-20,0,6.414999999999999e-20
41.25,1.58e-20,1,5.515e-20
